"user_id","school","startdate","enddate","degree_raw","field_raw"
304654991,"Srinivas Institute of Management Studies, Pandeshwara, Mangalore","2001-01-01","2003-01-31","Master of Business Administration (M.B.A.)","Finance and Financial Management Services"
62967940,"Trisakti University","2017-01-01","2020-01-31","Master of Management - MM","Business, Management, Marketing, and Related Support Services"
262358169,"Michigan State University","2009-01-01","2012-01-31","Master of Science Degree","Law Enforcement Intelligence Analysis"
317608498,"Accademia di Belle Arti di Napoli","2020-01-01","2023-01-01","Laurea Triennale","Design and Visual Communications, General"
185928908,"Florida Atlantic University","1995-01-01","1997-01-31","BA","Liberal Arts"
637623791,"Lycée saint joseph Concarneau","2009-01-01","2012-01-01","Baccalauréat Littéraire","Diplôme obtenu"
2005328566,"Australian Institute of Business","2016-01-01","2018-01-31","Master of Business Administration - MBA","Accounting and Business/Management"
29627016,"Creighton University","1982-01-01","1986-01-01","Bachelor of Arts (B.A.)","Psychology"
250424078,"University of West Florida","2003-01-01","2005-01-01","Master of Business Administration (MBA)","General Management"
21234930,"Arizona State University - W. P. Carey School of Business","2018-01-01","2020-01-31","Master of Business Administration - MBA",
286118527,"Lumen Christi College, Derry","2008-01-01","2015-01-01","GCSEs and A-Levels",
419681999,"Cleveland State University","2013-01-01","2014-01-01","Bachelor's degree","Computer Science"
416796095,"The Ohio State University","1991-01-01","1997-01-31","Ph.D.","Chemical Engineering"
329064916,"Northwestern University - Kellogg School of Management","2023-01-01","2025-01-01","Master of Business Administration - MBA",
211437614,"The George Washington University","1984-01-01","1989-01-31","Ph.D.","Clinical Psychology"
734476153,"Baylor University","2012-01-01","2016-01-31",,
388907148,"Polytechnic University of the Philippines","2011-01-01","2015-01-01","Bachelor of Science in Business Administration","Human Resource Development Management"
1000587609,"Century College",,,"Certificate","Intelligence & Crime Analysis"
43206087,"Stuttgart Media University","2001-01-01","2004-01-01","Diplom-Ingenieur (FH)","Media Computer Science"
637623791,"Uniwersytet Ekonomiczny w Krakowie","2017-01-01","2018-01-01","Master commerce international","Commerce international"
1019718535,"İstanbul Gelişim Üniversitesi","2021-01-01",,"ön lisans","sivil havacılık"
160354764,"Florida State College at Jacksonville",,,,
670245336,"Veurs College",,,,
33585425,"Mary Washington College","1992-01-01","1996-01-31","Bachelor of Science","Biology"
412165845,"The University of Texas at San Antonio","2018-01-01","2020-01-31","Bachelor of Arts - BA","Fine Arts"
109182802,"McNeese State University","1971-01-01","1974-01-31","Bachelor of Science - BS","Horticultural Science"
588978791,"Florida International University","1992-01-01","1994-01-31","Bachelors","Hospitality Administration/Management"
608033720,"University of Washington","2022-01-01","2027-01-31","Doctor of Philosophy - PhD","Developmental Psychology"
875783240,"University of Florida","2003-01-01","2007-01-01","Bachelor of Science","Industrial and Systems Engineering"
520651341,"New York Institute of Technology",,,"Electrical and Electronics Engineering",
698261571,"Ryerson University","2010-01-01","2014-01-01","Bachelor of Commerce (B.Com.)","Information Technology"
455872611,"Texas A&M University","2016-01-01","2020-01-31","Bachelor's degree","Accounting"
94743410,"Cornell University","2014-01-01","2016-01-01","Master’s Degree","Industrial and Labor Relations - Labor Economics"
569921303,"The University of Hong Kong",,,"Master's degree","Electrical and Electronics Engineering"
147751294,"Kalundborg Gymnasium & HF","2007-01-01","2010-01-01","STX","Mathematics A, Physics A, Chemistry B"
